Iteration,test_preds,estimated_params
1,"[np.float32(0.4687992), np.float32(-4.3760977), np.float32(-0.25649205), np.float32(0.49417287), np.float32(2.013713), np.float32(1.0676796), np.float32(0.4644895), np.float32(0.43175036), np.float32(-0.0175886), np.float32(-0.2962761), np.float32(-0.107836045), np.float32(-0.40586907), np.float32(0.00395), np.float32(-0.061663806), np.float32(-0.17891744), np.float32(0.023856789), np.float32(0.1489689), np.float32(-0.047874928), np.float32(0.04934501), np.float32(-0.07963405), np.float32(0.011105925)]","[np.float32(2.7041442), np.float32(3.0811806), np.float32(1.0486135), np.float32(1.481986), np.float32(1.2045858), np.float32(1.0262804), np.float32(1.0968382), np.float32(1.3822641), np.float32(1.1037422), np.float32(1.1933764)]"
2,"[np.float32(0.38938084), np.float32(-3.80022), np.float32(0.14826906), np.float32(0.4760995), np.float32(1.974609), np.float32(0.63077486), np.float32(0.42858565), np.float32(0.32823867), np.float32(-0.019632414), np.float32(-0.2770403), np.float32(-0.094212666), np.float32(-0.4111413), np.float32(0.024983719), np.float32(-0.08130716), np.float32(-0.18821931), np.float32(0.017398193), np.float32(0.13083343), np.float32(-0.024015635), np.float32(0.048451502), np.float32(-0.07824783), np.float32(-0.0013485365)]","[np.float32(2.4850974), np.float32(3.0032084), np.float32(1.4291853), np.float32(0.9208053), np.float32(1.132812), np.float32(1.2229412), np.float32(1.2161398), np.float32(1.3779033), np.float32(1.1719137), np.float32(1.3428974)]"
3,"[np.float32(0.3381623), np.float32(-3.5683146), np.float32(-0.20404503), np.float32(0.1311028), np.float32(2.0751653), np.float32(0.815894), np.float32(0.4081493), np.float32(0.3169545), np.float32(-0.02584219), np.float32(-0.25598451), np.float32(-0.13980947), np.float32(-0.40668505), np.float32(0.010694936), np.float32(-0.058226585), np.float32(-0.18688807), np.float32(0.042487882), np.float32(0.1692085), np.float32(-0.029977709), np.float32(0.036841556), np.float32(-0.070276864), np.float32(0.02028381)]","[np.float32(2.4906795), np.float32(3.683633), np.float32(1.0838553), np.float32(1.4149421), np.float32(1.3612357), np.float32(1.1613086), np.float32(1.2285247), np.float32(1.2653849), np.float32(1.1744994), np.float32(1.3053672)]"
4,"[np.float32(0.35087657), np.float32(-3.8126826), np.float32(-0.13428077), np.float32(0.058082044), np.float32(2.443455), np.float32(0.9985883), np.float32(0.44440863), np.float32(0.34488302), np.float32(0.0053670555), np.float32(-0.2331705), np.float32(-0.17743447), np.float32(-0.40978146), np.float32(-0.04003343), np.float32(-0.054121554), np.float32(-0.1644768), np.float32(0.03799629), np.float32(0.19317244), np.float32(-0.029976755), np.float32(0.04333564), np.float32(-0.0759478), np.float32(0.045237154)]","[np.float32(2.4838483), np.float32(4.7078834), np.float32(1.4081308), np.float32(0.97143555), np.float32(1.220195), np.float32(1.2234135), np.float32(1.1907114), np.float32(1.1377311), np.float32(1.0987545), np.float32(1.3739439)]"
5,"[np.float32(0.37265444), np.float32(-3.8313217), np.float32(-0.60868514), np.float32(0.089865625), np.float32(2.2319074), np.float32(0.72440684), np.float32(0.4574418), np.float32(0.39231032), np.float32(-0.039461344), np.float32(-0.21356186), np.float32(-0.08514127), np.float32(-0.38916615), np.float32(0.05895117), np.float32(-0.029497892), np.float32(-0.16919151), np.float32(0.09662129), np.float32(0.20019403), np.float32(-0.021874279), np.float32(0.09939484), np.float32(-0.055626214), np.float32(0.04537586)]","[np.float32(3.592265), np.float32(2.2917686), np.float32(1.295008), np.float32(1.0449886), np.float32(1.2902495), np.float32(1.2999316), np.float32(1.1778066), np.float32(1.2536516), np.float32(1.0425631), np.float32(1.2798743)]"
6,"[np.float32(0.35593128), np.float32(-3.706745), np.float32(-0.12409487), np.float32(0.30012465), np.float32(2.2171326), np.float32(0.9675759), np.float32(0.40769237), np.float32(0.33129612), np.float32(0.0075280666), np.float32(-0.27101034), np.float32(-0.16133118), np.float32(-0.41092962), np.float32(0.029471174), np.float32(-0.060653597), np.float32(-0.1624961), np.float32(0.04279565), np.float32(0.17821142), np.float32(-0.024359986), np.float32(0.039959088), np.float32(-0.07684821), np.float32(0.027848795)]","[np.float32(2.7205474), np.float32(3.8631823), np.float32(1.3195066), np.float32(1.1576434), np.float32(1.1562952), np.float32(1.2661737), np.float32(1.2067806), np.float32(1.271817), np.float32(1.1495699), np.float32(1.3067747)]"
7,"[np.float32(0.3736139), np.float32(-3.8176656), np.float32(-0.19609109), np.float32(-0.049458623), np.float32(2.1552072), np.float32(0.5839174), np.float32(0.45429832), np.float32(0.31586927), np.float32(-0.03374353), np.float32(-0.27149916), np.float32(-0.085424304), np.float32(-0.39058858), np.float32(0.05964066), np.float32(-0.038075507), np.float32(-0.1933943), np.float32(0.072155245), np.float32(0.16830933), np.float32(-0.028438449), np.float32(0.08165622), np.float32(-0.07198119), np.float32(0.038899206)]","[np.float32(3.0939465), np.float32(2.4088528), np.float32(1.4222537), np.float32(0.86584127), np.float32(1.2302351), np.float32(1.3350422), np.float32(1.1607921), np.float32(1.2090663), np.float32(1.181179), np.float32(1.2528037)]"
8,"[np.float32(0.4237472), np.float32(-4.1348124), np.float32(0.3565543), np.float32(0.19710708), np.float32(2.0536215), np.float32(0.99887127), np.float32(0.48886284), np.float32(0.34654707), np.float32(0.0067766905), np.float32(-0.2677135), np.float32(-0.09193297), np.float32(-0.42153883), np.float32(0.020521), np.float32(-0.05921778), np.float32(-0.18865128), np.float32(0.020449381), np.float32(0.1546005), np.float32(-0.024600714), np.float32(0.05718891), np.float32(-0.09097439), np.float32(0.03335022)]","[np.float32(2.7186315), np.float32(2.9854333), np.float32(0.9828706), np.float32(1.5070624), np.float32(1.1860474), np.float32(1.0418675), np.float32(1.0450785), np.float32(1.3513311), np.float32(1.2084303), np.float32(1.3261201)]"
9,"[np.float32(0.47938755), np.float32(-4.54277), np.float32(-0.29021853), np.float32(0.20047903), np.float32(2.1908107), np.float32(1.0016916), np.float32(0.52835083), np.float32(0.438339), np.float32(-0.03131324), np.float32(-0.2484742), np.float32(-0.045353204), np.float32(-0.4073366), np.float32(0.047396034), np.float32(-0.02320996), np.float32(-0.16857597), np.float32(0.08852865), np.float32(0.18334503), np.float32(-0.028788507), np.float32(0.12419652), np.float32(-0.07401292), np.float32(0.05153674)]","[np.float32(3.5771809), np.float32(2.0981212), np.float32(1.4945283), np.float32(0.8855772), np.float32(1.1049519), np.float32(1.1752706), np.float32(1.069766), np.float32(1.1931368), np.float32(1.0312804), np.float32(1.2321578)]"
10,"[np.float32(0.38385484), np.float32(-3.838139), np.float32(-0.32894272), np.float32(0.04268056), np.float32(1.9444065), np.float32(0.6426436), np.float32(0.5021443), np.float32(0.3620804), np.float32(-0.039902702), np.float32(-0.22158158), np.float32(-0.04321161), np.float32(-0.38123348), np.float32(0.05779217), np.float32(-0.058502793), np.float32(-0.1928917), np.float32(0.05309408), np.float32(0.15189977), np.float32(-0.017705232), np.float32(0.07576965), np.float32(-0.05084642), np.float32(0.032899186)]","[np.float32(2.9624364), np.float32(2.2667303), np.float32(0.98432165), np.float32(1.4628826), np.float32(1.3721691), np.float32(1.1869104), np.float32(1.1108242), np.float32(1.3899016), np.float32(1.1286205), np.float32(1.2831057)]"
