Iteration,test_preds,estimated_params
1,"[np.float32(5.056305), np.float32(-18.434687), np.float32(-8.088015), np.float32(-2.1485422), np.float32(1.569349), np.float32(-1.2676286), np.float32(0.44027305), np.float32(-0.24747244), np.float32(-1.2407244), np.float32(-0.80107534), np.float32(1.1860352), np.float32(-2.2823486), np.float32(0.17163832), np.float32(-1.8674325), np.float32(-0.68592733), np.float32(-0.7812766), np.float32(-0.9804622), np.float32(-2.2911994), np.float32(-0.73327756), np.float32(0.39421156), np.float32(0.12422047)]","[np.float32(1.892812), np.float32(1.3475064), np.float32(1.0140728), np.float32(0.99280286), np.float32(1.0129274), np.float32(0.9661642), np.float32(1.0144383), np.float32(0.99820817), np.float32(0.9987531), np.float32(1.0)]"
2,"[np.float32(5.039023), np.float32(-18.46027), np.float32(-8.095405), np.float32(-2.128892), np.float32(1.6627415), np.float32(-1.1899252), np.float32(0.40953308), np.float32(-0.27265167), np.float32(-1.2530711), np.float32(-0.76823306), np.float32(1.1066959), np.float32(-2.222782), np.float32(0.1922482), np.float32(-1.8418462), np.float32(-0.6830132), np.float32(-0.8047335), np.float32(-0.94574076), np.float32(-2.3177037), np.float32(-0.72848195), np.float32(0.3562366), np.float32(0.15737957)]","[np.float32(1.7290803), np.float32(1.638659), np.float32(1.0172502), np.float32(0.99149215), np.float32(1.0112036), np.float32(0.9722253), np.float32(1.0145019), np.float32(0.9975093), np.float32(0.99554837), np.float32(1.0003153)]"
3,"[np.float32(5.368022), np.float32(-19.047695), np.float32(-8.690882), np.float32(-2.4197502), np.float32(0.042481184), np.float32(-2.3050652), np.float32(0.3842995), np.float32(-0.3774982), np.float32(-1.4103122), np.float32(-0.72853434), np.float32(1.1932214), np.float32(-2.2505498), np.float32(0.1663906), np.float32(-1.8549492), np.float32(-0.74144745), np.float32(-0.70111334), np.float32(-1.087998), np.float32(-2.2770143), np.float32(-0.73302233), np.float32(0.41667366), np.float32(0.1454408)]","[np.float32(1.2618494), np.float32(1.2925282), np.float32(0.9883503), np.float32(1.0067731), np.float32(0.9722982), np.float32(1.0096942), np.float32(0.9829387), np.float32(0.9934825), np.float32(0.9949844), np.float32(0.9997244)]"
4,"[np.float32(4.9948545), np.float32(-18.32367), np.float32(-7.9799604), np.float32(-2.0838466), np.float32(1.8499068), np.float32(-1.0793251), np.float32(0.43736485), np.float32(-0.24924847), np.float32(-1.2271869), np.float32(-0.786371), np.float32(1.1764731), np.float32(-2.2768278), np.float32(0.18363091), np.float32(-1.8742025), np.float32(-0.67556536), np.float32(-0.8158799), np.float32(-0.93650234), np.float32(-2.2944274), np.float32(-0.7262855), np.float32(0.3785629), np.float32(0.12945423)]","[np.float32(2.1064641), np.float32(1.3929958), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0156546), np.float32(1.0001177), np.float32(1.0), np.float32(1.0)]"
5,"[np.float32(5.001592), np.float32(-18.436451), np.float32(-8.055766), np.float32(-2.084003), np.float32(1.8543408), np.float32(-1.0479932), np.float32(0.38213688), np.float32(-0.2947986), np.float32(-1.2600479), np.float32(-0.74107164), np.float32(1.0352905), np.float32(-2.1748366), np.float32(0.21770564), np.float32(-1.8232719), np.float32(-0.67777044), np.float32(-0.8339734), np.float32(-0.8999193), np.float32(-2.3455472), np.float32(-0.7268468), np.float32(0.31907678), np.float32(0.18873942)]","[np.float32(1.6800498), np.float32(1.9176786), np.float32(1.0), np.float32(1.0), np.float32(1.0139239), np.float32(0.9766983), np.float32(1.0172837), np.float32(0.997214), np.float32(1.0), np.float32(1.0)]"
6,"[np.float32(5.3113666), np.float32(-18.908197), np.float32(-8.563925), np.float32(-2.3740885), np.float32(0.32239723), np.float32(-2.116773), np.float32(0.40681776), np.float32(-0.33827904), np.float32(-1.3706601), np.float32(-0.7651534), np.float32(1.2177147), np.float32(-2.2797716), np.float32(0.16107836), np.float32(-1.8624789), np.float32(-0.7334257), np.float32(-0.6994482), np.float32(-1.0847083), np.float32(-2.274404), np.float32(-0.74215174), np.float32(0.42694318), np.float32(0.13007194)]","[np.float32(1.3211215), np.float32(1.3230685), np.float32(0.98117), np.float32(1.033077), np.float32(1.0194832), np.float32(0.96317774), np.float32(1.019111), np.float32(0.99806434), np.float32(0.99648374), np.float32(1.0021852)]"
7,"[np.float32(5.1842804), np.float32(-18.663404), np.float32(-8.320171), np.float32(-2.2691984), np.float32(0.9494773), np.float32(-1.6879009), np.float32(0.43184924), np.float32(-0.27518165), np.float32(-1.29338), np.float32(-0.8028301), np.float32(1.2059057), np.float32(-2.2880137), np.float32(0.15990107), np.float32(-1.8599579), np.float32(-0.70979583), np.float32(-0.72577083), np.float32(-1.048204), np.float32(-2.2820773), np.float32(-0.74312866), np.float32(0.4183055), np.float32(0.121437244)]","[np.float32(1.5645455), np.float32(1.3014681), np.float32(1.0052986), np.float32(1.0011369), np.float32(1.0136744), np.float32(0.96312916), np.float32(1.0166792), np.float32(0.99819875), np.float32(0.99528074), np.float32(1.001427)]"
8,"[np.float32(5.732609), np.float32(-19.76039), np.float32(-9.251495), np.float32(-2.6920536), np.float32(-1.1530606), np.float32(-3.1203363), np.float32(0.4004686), np.float32(-0.46354738), np.float32(-1.5522565), np.float32(-0.74514526), np.float32(1.3225983), np.float32(-2.3578453), np.float32(0.14166108), np.float32(-1.943332), np.float32(-0.8047901), np.float32(-0.62278265), np.float32(-1.2446637), np.float32(-2.3183672), np.float32(-0.77188134), np.float32(0.4957287), np.float32(0.1251272)]","[np.float32(1.0216707), np.float32(0.9153949), np.float32(1.0214667), np.float32(1.0129768), np.float32(0.9845214), np.float32(1.0061172), np.float32(0.97413474), np.float32(1.0300815), np.float32(1.0102589), np.float32(1.0001636)]"
9,"[np.float32(5.067564), np.float32(-18.405842), np.float32(-8.079196), np.float32(-2.1606717), np.float32(1.4929309), np.float32(-1.3319337), np.float32(0.46500567), np.float32(-0.22572944), np.float32(-1.2283361), np.float32(-0.82714415), np.float32(1.2462097), np.float32(-2.327843), np.float32(0.15614927), np.float32(-1.886336), np.float32(-0.6867493), np.float32(-0.76441634), np.float32(-1.0042617), np.float32(-2.2682202), np.float32(-0.7353649), np.float32(0.42251635), np.float32(0.09855951)]","[np.float32(2.041454), np.float32(1.1263297), np.float32(1.0072345), np.float32(1.0017407), np.float32(1.0154288), np.float32(0.9609104), np.float32(1.0165902), np.float32(1.000294), np.float32(0.99945974), np.float32(1.0008972)]"
10,"[np.float32(5.0487347), np.float32(-18.547152), np.float32(-8.15739), np.float32(-2.130392), np.float32(1.630102), np.float32(-1.1953154), np.float32(0.37076226), np.float32(-0.30843177), np.float32(-1.2795746), np.float32(-0.7301528), np.float32(1.0132586), np.float32(-2.1531186), np.float32(0.2151495), np.float32(-1.8102014), np.float32(-0.68371177), np.float32(-0.82121795), np.float32(-0.91776794), np.float32(-2.3484163), np.float32(-0.72472084), np.float32(0.31555748), np.float32(0.19751698)]","[np.float32(1.487032), np.float32(1.9790298), np.float32(1.0189369), np.float32(0.9882103), np.float32(1.0068632), np.float32(0.9807361), np.float32(1.0104401), np.float32(0.99745834), np.float32(0.9943163), np.float32(1.0)]"
