Iteration,test_preds,estimated_params
1,"[np.float32(0.6225037), np.float32(-5.0533214), np.float32(0.049475327), np.float32(0.02398324), np.float32(0.38774478), np.float32(-0.014961839), np.float32(0.65116066), np.float32(0.42165887), np.float32(-0.0693889), np.float32(-0.29568267), np.float32(0.058012784), np.float32(-0.35612446), np.float32(0.06820385), np.float32(-0.11352113), np.float32(-0.18058951), np.float32(-0.013508856), np.float32(0.035739638), np.float32(-0.060396537), np.float32(0.035523746), np.float32(0.01784245), np.float32(-0.044482306)]","[np.float32(1.1142137), np.float32(1.8656528), np.float32(1.0750288), np.float32(1.3582543), np.float32(1.1265123), np.float32(1.280126), np.float32(1.2612576), np.float32(1.1679571), np.float32(1.1842813), np.float32(1.1795763)]"
2,"[np.float32(0.46277604), np.float32(-4.223112), np.float32(-0.23274994), np.float32(0.3535391), np.float32(1.8000394), np.float32(0.37491548), np.float32(0.48098472), np.float32(0.40477118), np.float32(-0.051482186), np.float32(-0.2686572), np.float32(-0.051845267), np.float32(-0.38425678), np.float32(0.02637048), np.float32(-0.08225641), np.float32(-0.19772303), np.float32(0.013796866), np.float32(0.1089976), np.float32(-0.038193733), np.float32(0.055678714), np.float32(-0.05253236), np.float32(-0.009736836)]","[np.float32(2.2586598), np.float32(2.4987783), np.float32(1.4141375), np.float32(0.83997184), np.float32(1.1872393), np.float32(1.2489614), np.float32(1.2122422), np.float32(1.3324859), np.float32(1.0788954), np.float32(1.281949)]"
3,"[np.float32(0.5016967), np.float32(-4.407873), np.float32(-0.5796783), np.float32(0.078929305), np.float32(1.2542963), np.float32(0.18876615), np.float32(0.564958), np.float32(0.43970484), np.float32(-0.08523103), np.float32(-0.23485057), np.float32(0.042724162), np.float32(-0.34508792), np.float32(0.07928781), np.float32(-0.076278046), np.float32(-0.19010419), np.float32(0.0408493), np.float32(0.09123407), np.float32(-0.04637465), np.float32(0.07505571), np.float32(0.0068162084), np.float32(-0.0042117126)]","[np.float32(2.109191), np.float32(1.8002979), np.float32(1.0523889), np.float32(1.3120161), np.float32(1.3198892), np.float32(1.28472), np.float32(1.2071313), np.float32(1.3121732), np.float32(1.0825852), np.float32(1.1981789)]"
4,"[np.float32(0.5593894), np.float32(-4.8020105), np.float32(0.0539774), np.float32(-0.060898185), np.float32(1.0782614), np.float32(0.14353466), np.float32(0.6275924), np.float32(0.3813471), np.float32(-0.08422634), np.float32(-0.27590147), np.float32(0.08145097), np.float32(-0.36234564), np.float32(0.049862072), np.float32(-0.05857019), np.float32(-0.21412031), np.float32(0.04478135), np.float32(0.0656288), np.float32(-0.054287836), np.float32(0.10276234), np.float32(-0.015562024), np.float32(-0.007976815)]","[np.float32(2.0072172), np.float32(1.548668), np.float32(1.4709908), np.float32(0.80380833), np.float32(1.2117214), np.float32(1.1867757), np.float32(1.1719863), np.float32(1.1445587), np.float32(1.1944535), np.float32(1.1744084)]"
5,"[np.float32(0.4878705), np.float32(-4.4407187), np.float32(-0.06614667), np.float32(0.040889442), np.float32(1.7038097), np.float32(0.49724254), np.float32(0.5404639), np.float32(0.41063616), np.float32(-0.054956317), np.float32(-0.22984327), np.float32(-0.023879766), np.float32(-0.39474493), np.float32(0.025224209), np.float32(-0.058332086), np.float32(-0.2112398), np.float32(0.026423007), np.float32(0.1147567), np.float32(-0.040201575), np.float32(0.071105376), np.float32(-0.042800635), np.float32(0.015250206)]","[np.float32(2.1571102), np.float32(2.3704617), np.float32(0.93101376), np.float32(1.4329958), np.float32(1.3549037), np.float32(1.0518543), np.float32(1.1961137), np.float32(1.174318), np.float32(1.1017528), np.float32(1.3030167)]"
6,"[np.float32(0.63953173), np.float32(-5.2481833), np.float32(0.12590134), np.float32(-0.03548348), np.float32(0.6481286), np.float32(-0.025112867), np.float32(0.70785934), np.float32(0.4346532), np.float32(-0.07811822), np.float32(-0.27590194), np.float32(0.10867177), np.float32(-0.35072592), np.float32(0.042316794), np.float32(-0.10124408), np.float32(-0.19566433), np.float32(-0.0060391575), np.float32(0.02754698), np.float32(-0.059583426), np.float32(0.07553408), np.float32(-0.00015988573), np.float32(-0.028410465)]","[np.float32(1.4440746), np.float32(1.6245748), np.float32(1.5350366), np.float32(0.75578344), np.float32(1.0838139), np.float32(1.2673452), np.float32(1.1180977), np.float32(1.2223284), np.float32(1.1231196), np.float32(1.230108)]"
7,"[np.float32(0.64600885), np.float32(-5.182789), np.float32(0.4026929), np.float32(-0.120735645), np.float32(0.03533259), np.float32(-0.4742508), np.float32(0.73884994), np.float32(0.40368617), np.float32(-0.08836801), np.float32(-0.23065501), np.float32(0.17296362), np.float32(-0.3552728), np.float32(0.011110559), np.float32(-0.10983196), np.float32(-0.1993965), np.float32(-0.010972843), np.float32(0.024519987), np.float32(-0.057309374), np.float32(0.055045687), np.float32(0.008618519), np.float32(-0.050868925)]","[np.float32(1.0212848), np.float32(1.4681487), np.float32(1.4931594), np.float32(0.764518), np.float32(1.1628777), np.float32(1.2409514), np.float32(1.2315428), np.float32(1.1831312), np.float32(1.1617031), np.float32(1.3169576)]"
8,"[np.float32(0.52067226), np.float32(-4.5653524), np.float32(0.14284351), np.float32(-0.44326985), np.float32(0.7849908), np.float32(0.11865002), np.float32(0.65994513), np.float32(0.34437123), np.float32(-0.07664448), np.float32(-0.2575544), np.float32(0.03845206), np.float32(-0.36566985), np.float32(0.05862999), np.float32(-0.10425927), np.float32(-0.21232238), np.float32(-0.006133847), np.float32(0.04713577), np.float32(-0.045908436), np.float32(0.045650985), np.float32(-0.010506608), np.float32(-0.01794631)]","[np.float32(1.3470225), np.float32(2.0128748), np.float32(1.1491177), np.float32(1.2523907), np.float32(1.2787948), np.float32(1.2679591), np.float32(1.1969128), np.float32(1.0866843), np.float32(1.2118214), np.float32(1.2924482)]"
9,"[np.float32(0.48186514), np.float32(-4.3102517), np.float32(0.34384462), np.float32(0.16459268), np.float32(1.4191742), np.float32(0.3511371), np.float32(0.54657316), np.float32(0.35265845), np.float32(-0.049704164), np.float32(-0.24088983), np.float32(0.026329204), np.float32(-0.39693588), np.float32(0.07291724), np.float32(-0.06420025), np.float32(-0.20677558), np.float32(0.034239113), np.float32(0.09112324), np.float32(-0.02486062), np.float32(0.09066319), np.float32(-0.034098905), np.float32(0.0034240335)]","[np.float32(2.2794366), np.float32(1.8259488), np.float32(1.5115703), np.float32(0.8132592), np.float32(1.1059693), np.float32(1.2403063), np.float32(1.1727217), np.float32(1.253853), np.float32(1.1879036), np.float32(1.3387207)]"
10,"[np.float32(0.47577798), np.float32(-4.4050136), np.float32(-0.20553935), np.float32(0.14503741), np.float32(1.9022045), np.float32(0.65543693), np.float32(0.54074734), np.float32(0.40156394), np.float32(-0.029623926), np.float32(-0.27438682), np.float32(-0.031277433), np.float32(-0.3815079), np.float32(0.08428109), np.float32(-0.06428322), np.float32(-0.17794329), np.float32(0.04278642), np.float32(0.124626935), np.float32(-0.02891764), np.float32(0.091822475), np.float32(-0.055806756), np.float32(0.026672587)]","[np.float32(2.7743242), np.float32(2.1539125), np.float32(1.2437826), np.float32(1.0802265), np.float32(1.1046004), np.float32(1.2990438), np.float32(1.0674965), np.float32(1.3306036), np.float32(1.1230402), np.float32(1.2070731)]"
