1.6864,1.5416,1.6864,1.5416,2.3173,0.2986,0.1893,0.1883,0.1893,0.1883,3.9987,2.0687,1.6864,1.5416,1.6864,1.5416,2.3173,0.2986,0.1893,0.1883,0.1893,0.1883,3.9987,2.0687,0.146,0.3494,0.146,0.3494,0.146,0.3494,0.146,0.3494,0.146,0.3494
0.1377,0.1003,0.1377,0.1003,0.2562,2.7464,2.0106,4.9368,2.0106,4.9368,0.3472,0.5372,0.1377,0.1003,0.1377,0.1003,0.2562,2.7464,2.0106,4.9368,2.0106,4.9368,0.3472,0.5372,0.871,2.8972,0.871,2.8972,0.871,2.8972,0.871,2.8972,0.871,2.8972
2.1489,0.3027,2.1489,0.3027,0.3963,0.1944,1.1559,1.2798,1.1559,1.2798,1.2019,1.4294,2.1489,0.3027,2.1489,0.3027,0.3963,0.1944,1.1559,1.2798,1.1559,1.2798,1.2019,1.4294,2.0091,0.8725,2.0091,0.8725,2.0091,0.8725,2.0091,0.8725,2.0091,0.8725
0.4659,4.6526,0.4659,4.6526,1.3464,1.5683,0.3271,0.5586,0.3271,0.5586,0.1041,0.1099,0.4659,4.6526,0.4659,4.6526,1.3464,1.5683,0.3271,0.5586,0.3271,0.5586,0.1041,0.1099,0.3459,0.1005,0.3459,0.1005,0.3459,0.1005,0.3459,0.1005,0.3459,0.1005
4.9199,0.6031,4.9199,0.6031,1.0363,0.1452,0.6133,0.1037,0.6133,0.1037,0.5786,0.1731,4.9199,0.6031,4.9199,0.6031,1.0363,0.1452,0.6133,0.1037,0.6133,0.1037,0.5786,0.1731,3.495,3.173,3.495,3.173,3.495,3.173,3.495,3.173,3.495,3.173
0.3554,2.0812,0.3554,2.0812,0.4994,0.7895,1.069,2.5563,1.069,2.5563,2.5121,0.8475,0.3554,2.0812,0.3554,2.0812,0.4994,0.7895,1.069,2.5563,1.069,2.5563,2.5121,0.8475,0.6852,0.5509,0.6852,0.5509,0.6852,0.5509,0.6852,0.5509,0.6852,0.5509
0.8849,0.8883,0.8849,0.8883,0.1252,0.5932,4.9434,0.8742,4.9434,0.8742,0.1661,0.3186,0.8849,0.8883,0.8849,0.8883,0.1252,0.5932,4.9434,0.8742,4.9434,0.8742,0.1661,0.3186,0.2214,0.2585,0.2214,0.2585,0.2214,0.2585,0.2214,0.2585,0.2214,0.2585
0.1697,0.2574,0.1697,0.2574,4.8899,3.6755,0.1335,0.4056,0.1335,0.4056,0.7195,3.2549,0.1697,0.2574,0.1697,0.2574,4.8899,3.6755,0.1335,0.4056,0.1335,0.4056,0.7195,3.2549,1.1777,1.5583,1.1777,1.5583,1.1777,1.5583,1.1777,1.5583,1.1777,1.5583
3.0991,0.482,3.0991,0.482,3.122,0.2604,2.8424,0.4862,2.8424,0.4862,0.2209,1.0623,3.0991,0.482,3.0991,0.482,3.122,0.2604,2.8424,0.4862,2.8424,0.4862,0.2209,1.0623,3.9702,0.1437,3.9702,0.1437,3.9702,0.1437,3.9702,0.1437,3.9702,0.1437
0.3231,2.6255,0.3231,2.6255,0.1298,1.1888,0.2306,1.5007,0.2306,1.5007,0.9571,0.2167,0.3231,2.6255,0.3231,2.6255,0.1298,1.1888,0.2306,1.5007,0.2306,1.5007,0.9571,0.2167,0.4719,1.0541,0.4719,1.0541,0.4719,1.0541,0.4719,1.0541,0.4719,1.0541
